comet_id,severity,rule,message,details
19,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.08;expected_q=0.7670000000000007;diff=0.3129999999999994;allowed=0.03
21,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.48;expected_q=1.5440000000000014;diff=0.06400000000000139;allowed=0.03088000000000003
27,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.03;expected_q=2.076000000000002;diff=0.04600000000000204;allowed=0.041520000000000036
32,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.799;expected_q=1.3100000000000012;diff=0.5110000000000011;allowed=0.03
36,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.18;expected_q=1.096000000000001;diff=0.08399999999999896;allowed=0.03
39,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.167;expected_q=0.2330000000000002;diff=0.0660000000000002;allowed=0.03
42,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.736;expected_q=0.6900000000000006;diff=0.045999999999999375;allowed=0.03
45,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.476;expected_q=0.5240000000000005;diff=0.04800000000000049;allowed=0.03
46,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
47,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.429;expected_q=0.6380000000000006;diff=0.20900000000000057;allowed=0.03
51,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.02;expected_q=3.2100000000000026;diff=1.1900000000000026;allowed=0.06420000000000005
162,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.14;expected_q=4.640000000000004;diff=0.49999999999999556;allowed=0.1028
165,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.93;expected_q=5.560000000000005;diff=0.6300000000000052;allowed=0.1112000000000001
173,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.56;expected_q=5.100000000000005;diff=0.45999999999999464;allowed=0.1112
176,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.85;expected_q=7.870000000000007;diff=2.0200000000000076;allowed=0.15740000000000015
180,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.17;expected_q=2.6600000000000024;diff=0.5099999999999976;allowed=0.0634
181,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.74;expected_q=2.5200000000000022;diff=0.21999999999999797;allowed=0.05480000000000001
183,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.47;expected_q=2.330000000000002;diff=0.13999999999999835;allowed=0.049400000000000006
185,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.98;expected_q=3.204000000000003;diff=0.22400000000000286;allowed=0.06408000000000005
186,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=8.74;expected_q=9.380000000000008;diff=0.6400000000000077;allowed=0.18760000000000016
190,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.54;expected_q=3.8160000000000034;diff=0.27600000000000335;allowed=0.07632000000000007
191,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.2;expected_q=1.100000000000001;diff=0.09999999999999898;allowed=0.03
200,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.52;expected_q=4.950000000000005;diff=0.569999999999995;allowed=0.1104
202,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.01;expected_q=3.8780000000000037;diff=0.13199999999999612;allowed=0.0802
209,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.77;expected_q=1.4300000000000013;diff=0.33999999999999875;allowed=0.0354
217,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.28;expected_q=1.4010000000000011;diff=0.1210000000000011;allowed=0.03
218,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.13;expected_q=1.3080000000000012;diff=0.17800000000000127;allowed=0.03
219,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.27;expected_q=2.8650000000000024;diff=0.4049999999999976;allowed=0.0654
221,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.42;expected_q=1.8800000000000017;diff=0.46000000000000174;allowed=0.037600000000000036
222,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.691;expected_q=0.7230000000000006;diff=0.032000000000000695;allowed=0.03
233,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=6.26;expected_q=6.420000000000005;diff=0.16000000000000547;allowed=0.1284000000000001
239,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.91;expected_q=6.230000000000006;diff=2.3200000000000056;allowed=0.12460000000000011
240,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=6.95;expected_q=6.000000000000005;diff=0.9499999999999948;allowed=0.139
242,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.55;expected_q=2.4710000000000023;diff=0.07899999999999752;allowed=0.051
249,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.95;expected_q=2.7700000000000022;diff=0.17999999999999794;allowed=0.059000000000000004
254,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.24;expected_q=6.280000000000006;diff=2.0400000000000054;allowed=0.1256000000000001
264,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.84;expected_q=2.9120000000000026;diff=0.07200000000000273;allowed=0.058240000000000056
265,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.2;expected_q=1.3680000000000012;diff=0.16800000000000126;allowed=0.03
268,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.75;expected_q=3.0400000000000027;diff=0.2900000000000027;allowed=0.060800000000000055
275,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.78;expected_q=1.7280000000000015;diff=0.05199999999999849;allowed=0.0356
282,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.38;expected_q=2.690000000000002;diff=0.6899999999999977;allowed=0.0676
310,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
318,WARN,node_longitude_out_of_range,"Knotenlaenge om liegt ausserhalb [0,360).",om=360.0
338,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.74;expected_q=1.7820000000000016;diff=0.04200000000000159;allowed=0.03564000000000003
339,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.25;expected_q=1.7900000000000016;diff=0.5400000000000016;allowed=0.03580000000000003
344,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.63;expected_q=1.5600000000000014;diff=0.06999999999999851;allowed=0.0326
355,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.753;expected_q=1.070000000000001;diff=0.31700000000000095;allowed=0.03
356,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.756;expected_q=0.6900000000000006;diff=0.06599999999999939;allowed=0.03
359,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.13;expected_q=0.7730000000000007;diff=0.3569999999999992;allowed=0.03
362,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.83;expected_q=2.496000000000002;diff=0.33399999999999785;allowed=0.056600000000000004
368,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
378,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.489;expected_q=0.5780000000000005;diff=0.08900000000000052;allowed=0.03
381,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.46;expected_q=2.8700000000000028;diff=0.5899999999999972;allowed=0.0692
400,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.08;expected_q=2.140000000000002;diff=0.06000000000000183;allowed=0.04280000000000004
402,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
416,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
417,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.908;expected_q=1.098000000000001;diff=0.19000000000000095;allowed=0.03
419,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.53;expected_q=1.4050000000000011;diff=0.12499999999999889;allowed=0.030600000000000002
431,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.87;expected_q=1.7200000000000015;diff=0.14999999999999858;allowed=0.0374
432,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.427;expected_q=0.37600000000000033;diff=0.05099999999999966;allowed=0.03
433,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.07;expected_q=1.6700000000000015;diff=0.6000000000000014;allowed=0.033400000000000034
439,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.821;expected_q=0.6980000000000006;diff=0.12299999999999933;allowed=0.03
440,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.91;expected_q=1.8480000000000016;diff=0.06199999999999828;allowed=0.0382
445,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.34;expected_q=1.7080000000000015;diff=0.36800000000000144;allowed=0.03416000000000003
446,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.48;expected_q=1.3080000000000012;diff=0.17199999999999882;allowed=0.03
450,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.6;expected_q=2.140000000000002;diff=0.4599999999999982;allowed=0.052000000000000005
451,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.71;expected_q=1.5640000000000014;diff=0.14599999999999858;allowed=0.0342
455,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.44;expected_q=1.5160000000000013;diff=0.0760000000000014;allowed=0.030320000000000027
459,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.93;expected_q=7.460000000000006;diff=2.5300000000000065;allowed=0.14920000000000014
464,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.989;expected_q=1.5000000000000013;diff=0.5110000000000013;allowed=0.030000000000000027
465,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.29;expected_q=2.238000000000002;diff=0.051999999999997826;allowed=0.0458
466,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.23;expected_q=4.920000000000004;diff=0.6900000000000039;allowed=0.09840000000000008
470,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.48;expected_q=2.706000000000002;diff=0.2260000000000022;allowed=0.05412000000000004
474,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.22;expected_q=1.7200000000000015;diff=0.49999999999999867;allowed=0.0444
475,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.47;expected_q=1.9400000000000017;diff=0.47000000000000175;allowed=0.038800000000000036
477,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
478,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.1;expected_q=1.180000000000001;diff=0.08000000000000096;allowed=0.03
566,WARN,node_longitude_out_of_range,"Knotenlaenge om liegt ausserhalb [0,360).",om=360.0
581,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.28;expected_q=1.050000000000001;diff=0.2299999999999991;allowed=0.03
583,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.879;expected_q=0.8220000000000007;diff=0.056999999999999273;allowed=0.03
584,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.818;expected_q=0.7140000000000006;diff=0.10399999999999932;allowed=0.03
589,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.624;expected_q=0.9470000000000008;diff=0.32300000000000084;allowed=0.03
596,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.33;expected_q=1.3600000000000012;diff=0.030000000000001137;allowed=0.03
597,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.92;expected_q=1.7160000000000015;diff=0.2039999999999984;allowed=0.0384
600,WARN,eccentricity_extreme,Exzentrizitaet e ist sehr hoch.,e=10.0
604,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
605,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
606,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.573;expected_q=0.6120000000000005;diff=0.03900000000000059;allowed=0.03
607,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.35;expected_q=3.460000000000003;diff=0.11000000000000298;allowed=0.06920000000000007
609,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.89;expected_q=1.9860000000000018;diff=0.09600000000000186;allowed=0.03972000000000003
610,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.68;expected_q=3.150000000000003;diff=0.47000000000000286;allowed=0.06300000000000006
611,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.25;expected_q=5.560000000000005;diff=2.310000000000005;allowed=0.1112000000000001
614,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.68;expected_q=2.7360000000000024;diff=0.05600000000000227;allowed=0.054720000000000046
623,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
626,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.18;expected_q=1.4800000000000013;diff=0.3000000000000014;allowed=0.03
634,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.8;expected_q=1.5500000000000014;diff=0.24999999999999867;allowed=0.036000000000000004
635,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.78;expected_q=1.9000000000000017;diff=0.12000000000000166;allowed=0.038000000000000034
642,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.43;expected_q=3.5070000000000032;diff=0.07700000000000307;allowed=0.07014000000000006
643,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.76;expected_q=2.5800000000000023;diff=0.8200000000000023;allowed=0.05160000000000005
645,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
653,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.93;expected_q=1.3900000000000012;diff=0.5399999999999987;allowed=0.0386
655,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
661,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.59;expected_q=1.8300000000000016;diff=0.7599999999999982;allowed=0.0518
663,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.91;expected_q=4.330000000000004;diff=0.4200000000000035;allowed=0.08660000000000008
668,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=6.81;expected_q=7.060000000000006;diff=0.2500000000000062;allowed=0.14120000000000013
670,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.37;expected_q=1.160000000000001;diff=0.20999999999999908;allowed=0.03
703,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
704,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.12;expected_q=2.1700000000000017;diff=0.0500000000000016;allowed=0.043400000000000036
707,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=7.62;expected_q=9.990000000000009;diff=2.370000000000009;allowed=0.1998000000000002
717,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.85;expected_q=4.1700000000000035;diff=0.6799999999999962;allowed=0.09699999999999999
733,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.745;expected_q=0.8600000000000008;diff=0.11500000000000077;allowed=0.03
750,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.33;expected_q=3.0200000000000027;diff=0.3099999999999974;allowed=0.0666
757,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.26;expected_q=2.116000000000002;diff=0.1439999999999979;allowed=0.0452
758,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.5;expected_q=1.3590000000000013;diff=0.14099999999999868;allowed=0.03
786,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.25;expected_q=4.740000000000004;diff=0.5099999999999962;allowed=0.105
788,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
795,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.09;expected_q=1.8900000000000017;diff=0.19999999999999818;allowed=0.0418
796,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.45;expected_q=1.3440000000000012;diff=0.10599999999999876;allowed=0.03
800,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
808,WARN,perihelion_argument_out_of_range,"Perihelargument w liegt ausserhalb [0,360).",w=360.0
818,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.7;expected_q=3.8400000000000034;diff=0.14000000000000323;allowed=0.07680000000000008
834,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=7.77;expected_q=6.580000000000005;diff=1.1899999999999942;allowed=0.15539999999999998
835,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.44;expected_q=1.3740000000000012;diff=0.06599999999999873;allowed=0.03
839,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=6.19;expected_q=6.536000000000006;diff=0.3460000000000054;allowed=0.13072000000000011
841,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.26;expected_q=1.9890000000000017;diff=0.27099999999999813;allowed=0.0452
847,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.05;expected_q=2.124000000000002;diff=0.07400000000000206;allowed=0.04248000000000004
848,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.68;expected_q=4.890000000000004;diff=0.2100000000000044;allowed=0.09780000000000008
849,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.18;expected_q=6.290000000000005;diff=1.1100000000000056;allowed=0.1258000000000001
850,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.32;expected_q=7.510000000000007;diff=2.1900000000000066;allowed=0.15020000000000014
